Name,picture_link,Wikipedia_Link,division,rating,bouts,rounds,KOs,Career,Debut,vada,titles,ID,Birth Name,sex,Alias,Age,Nationality,Stance,Height,Reach,Residence,Birth Place,Win,Lose,Draw
Terence Crawford,https://boxrec.com/images/thumb/5/53/447121.jpeg/200px-447121.jpeg,https://boxrec.com/wiki/index.php?title=Fight:2981252,welter,5.0,40,233,77.5%,2008-2023,2008-03-14,,WBA Super World Welter,447121,Terence Allan Crawford,male,Bud,36,USA,southpaw,5′ 8″   /   173cm,74″   /   188cm,"Omaha, Nebraska, USA","Omaha, Nebraska, USA",40,0,0
Saul Alvarez,https://boxrec.com/images/thumb/7/74/Santos_Saul_Alvarez_Barragan1.jpg/200px-Santos_Saul_Alvarez_Barragan1.jpg,https://boxrec.com/wiki/index.php?title=Fight:3018692,super middle,5.0,64,484,65%,2005-2023,2005-10-29,,IBF World Super Middle,348759,Santos Saúl Álvarez Barragán,male,Canelo,33,Mexico,orthodox,5′ 8″   /   173cm,70½″   /   179cm,"Guadalajara, Jalisco, Mexico","Guadalajara, Jalisco, Mexico",60,2,2
Devin Haney,https://boxrec.com/images/thumb/7/7b/DevinHaney.jpg/200px-DevinHaney.jpg,https://boxrec.com/wiki/index.php?title=Fight:3046119,super light,5.0,31,210,48.39%,2015-2023,2015-12-11,,WBA Super World Light,741718,Devin Miles Haney,male,The Dream,25,USA,orthodox,5′ 8″   /   173cm,71″   /   180cm,"Las Vegas, Nevada, USA","San Francisco, California, USA",31,0,0
Dmitrii Bivol,https://boxrec.com/images/thumb/5/51/DmitryBivol1.jpg/200px-DmitryBivol1.jpg,https://boxrec.com/wiki/index.php?title=Fight:2804145,light heavy,5.0,22,184,50%,2014-2023,2014-11-28,,IBO World Light Heavy,703924,Дмитрий Юрьевич Бивол,male,,33,Russia,orthodox,6′ 0″   /   183cm,72″   /   183cm,"Indio, California, USA","Tokmak, Kyrgyzstan",22,0,0
Artur Beterbiev,https://boxrec.com/images/thumb/2/20/Artur_Beterbiev.jpeg/200px-Artur_Beterbiev.jpeg,,light heavy,5.0,20,98,100%,2013-2024,2013-06-08,,IBF World Light Heavy,646981,Артур Асильбекович Бетербиев,male,,39,Canada,orthodox,5′ 11½″   /   182cm,73″   /   185cm,"Montreal, Quebec, Canada","Khasavyurt, Russia",20,0,0
Naoya Inoue,https://boxrec.com/images/thumb/c/c5/628407.jpeg/200px-628407.jpeg,https://boxrec.com/wiki/index.php?title=Fight:3061869,super bantam,5.0,26,156,88.46%,2012-2023,2012-10-02,,IBF World Super Bantam,628407,井上尚弥,male,Monster,30,Japan,orthodox,5′ 5″   /   165cm,67½″   /   171cm,"Yokohama, Kanagawa, Japan","Zama, Kanagawa, Japan",26,0,0
Gervonta Davis,https://boxrec.com/images/thumb/e/e6/643387.jpeg/200px-643387.jpeg,https://boxrec.com/wiki/index.php?title=Fight:2950522,light,5.0,29,130,93.1%,2013-2023,2013-02-22,,WBA World Light,643387,,male,Tank,29,USA,southpaw,5′ 5½″   /   166cm,67½″   /   171cm,"Baltimore, Maryland, USA","Baltimore, Maryland, USA",29,0,0
Emanuel Navarrete,https://boxrec.com/images/thumb/7/77/602423.jpg/200px-602423.jpg,https://boxrec.com/wiki/index.php?title=Fight:3040240,super feather,5.0,40,228,81.58%,2012-2023,2012-02-18,,WBO World Super Feather,602423,Emanuel Navarrete Martinez,male,Vaquero,29,Mexico,orthodox,5′ 7″   /   170cm,72″   /   183cm,"San Juan Zitlaltepec, Distrito Federal, Mexico","San Juan Zitlaltepec, Distrito Federal, Mexico",38,1,1
O'Shaquie Foster,https://boxrec.com/images/thumb/b/be/OshaniqueFosterBoxrec.jpg/200px-OshaniqueFosterBoxrec.jpg,https://boxrec.com/wiki/index.php?title=Fight:3088367,super feather,5.0,23,134,57.14%,2012-2023,2012-09-08,,WBC World Super Feather,626343,O’Shanique Dominique Williams Foster,male,Ice Water,30,USA,orthodox,5′ 8½″   /   174cm,72″   /   183cm,"Houston, Texas, USA","Orange, Texas, USA",21,2,0
David Benavidez,https://boxrec.com/images/thumb/0/08/DavidBenavidez1.jpg/200px-DavidBenavidez1.jpg,https://boxrec.com/wiki/index.php?title=Fight:3053483,super middle,5.0,28,136,85.71%,2013-2023,2013-08-17,,WBC Interim World Super Middle,672259,Anthony David Benavidez,male,The Monster Bandera Roja,27,USA,orthodox,6′ 2″   /   188cm,74½″   /   189cm,"Las Vegas, Nevada, USA","Phoenix, Arizona, USA",28,0,0
